Nom de la rue proche;Code de la rue proche;N° de police le plus proche;Identifiant;Geo Point;Geo Shape
Avenue Gouverneur Bovesse;5504;23;220;50.4571629871,4.8726438832;"{""coordinates"": [4.8726438832, 50.4571629871], ""type"": ""Point""}"
Place Joséphine Charlotte;5521;40;219;50.4611370055,4.8770086148;"{""coordinates"": [4.8770086148, 50.4611370055], ""type"": ""Point""}"
Avenue du Bourgmestre Jean Materne;5526;47;202;50.4579233388,4.8687889564;"{""coordinates"": [4.8687889564, 50.4579233388], ""type"": ""Point""}"
Rue de Bruxelles;1214;88;13;50.4667429568,4.8596701595;"{""coordinates"": [4.8596701595, 50.4667429568], ""type"": ""Point""}"
Boulevard Ernest Mélot;1269;14;41;50.4680722138,4.8598787601;"{""coordinates"": [4.8598787601, 50.4680722138], ""type"": ""Point""}"
Place de la Station;1299;28;43;50.4680744844,4.8615294044;"{""coordinates"": [4.8615294044, 50.4680744844], ""type"": ""Point""}"
Place l'Ilon;1803;17;67;50.4637332902,4.8705739071;"{""coordinates"": [4.8705739071, 50.4637332902], ""type"": ""Point""}"
Rue Pepin;1279;39;88;50.4662609502,4.869680772;"{""coordinates"": [4.869680772, 50.4662609502], ""type"": ""Point""}"
Rempart de la Vierge;1303;1;18;50.4671819462,4.8578618537;"{""coordinates"": [4.8578618537, 50.4671819462], ""type"": ""Point""}"
Rue Grandgagnage;1245;8;25;50.4666490811,4.85843823;"{""coordinates"": [4.85843823, 50.4666490811], ""type"": ""Point""}"
Avenue des Combattants;1220;12;151;50.4683685422,4.8561634791;"{""coordinates"": [4.8561634791, 50.4683685422], ""type"": ""Point""}"
Avenue du Bourgmestre Jean Materne;5526;1;200;50.4580612147,4.8672499888;"{""coordinates"": [4.8672499888, 50.4580612147], ""type"": ""Point""}"
Avenue du Bourgmestre Jean Materne;5526;46;201;50.4577513741,4.8688879752;"{""coordinates"": [4.8688879752, 50.4577513741], ""type"": ""Point""}"
Boulevard du Nord;1039;21;96;50.4700392895,4.8637641652;"{""coordinates"": [4.8637641652, 50.4700392895], ""type"": ""Point""}"
Avenue du Bourgmestre Jean Materne;5526;195;212;50.455284669,4.8759135429;"{""coordinates"": [4.8759135429, 50.455284669], ""type"": ""Point""}"
Rue Galliot;1239;6;66;50.4673997143,4.8671231143;"{""coordinates"": [4.8671231143, 50.4673997143], ""type"": ""Point""}"
Boulevard Frère Orban;1236;1;22;50.464524311,4.8562922076;"{""coordinates"": [4.8562922076, 50.464524311], ""type"": ""Point""}"
Rue de Bruxelles;1214;106;14;50.4671508,4.8593211151;"{""coordinates"": [4.8593211151, 50.4671508], ""type"": ""Point""}"
Rempart de la Vierge;1303;8;19;50.4663699704,4.8570610015;"{""coordinates"": [4.8570610015, 50.4663699704], ""type"": ""Point""}"
Rue Lucien Namêche;1273;11;90;50.4663471458,4.8687469574;"{""coordinates"": [4.8687469574, 50.4663471458], ""type"": ""Point""}"
Rue Dewez;1812;39;128;50.4681366205,4.8694539747;"{""coordinates"": [4.8694539747, 50.4681366205], ""type"": ""Point""}"
Place Louise Godin;1642;16;117;50.4605909446,4.8427691175;"{""coordinates"": [4.8427691175, 50.4605909446], ""type"": ""Point""}"
Rue de l'Etoile;1232;6B;87;50.4656993849,4.8696855335;"{""coordinates"": [4.8696855335, 50.4656993849], ""type"": ""Point""}"
